idx,method,ws,bpr,mae
95,NCC,15,18.269101443277638,2.72543
96,SAD,7,38.54807480208818,9.030335
96,SAD,15,28.813019288742925,5.887832
96,SSD,7,36.665767995882454,8.5163355
96,SSD,15,26.087595892257543,5.513201
96,NCC,7,8.736305482708758,1.7905489
96,NCC,15,8.599053944756257,1.4067638
97,SAD,7,36.5400145360575,7.97312
97,SAD,15,26.247678268594036,5.286175
97,SSD,7,34.194056367600744,7.542439
97,SSD,15,23.532261972058468,5.0233345
97,NCC,7,8.77816361140273,1.7322934
97,NCC,15,7.805055317774368,1.3059379
98,SAD,7,34.31823198057712,7.825789
98,SAD,15,25.22191407487021,4.9796386
98,SSD,7,32.11396547256902,7.231518
98,SSD,15,22.580057001928854,4.4539466
98,NCC,7,7.628086404944005,1.8068135
98,NCC,15,6.713560509370772,1.4578462
99,SAD,7,29.5465294462627,6.1882415
99,SAD,15,18.030988100418092,3.7523837
99,SSD,7,26.031517811536354,5.455891
99,SSD,15,14.608675911386898,3.0542705
99,NCC,7,5.93276452448968,1.6009513
99,NCC,15,3.204752265460943,1.0828751
100,SAD,7,43.11356064656768,8.959528
100,SAD,15,30.68646403158804,6.8015523
100,SSD,7,40.167811458890306,8.4303255
100,SSD,15,27.484884629622012,6.3294406
100,NCC,7,13.521161518529182,2.8423133
100,NCC,15,6.473902850326986,1.3885001
101,SAD,7,39.64550999991147,9.238212
101,SAD,15,28.45570203008384,7.013557
101,SSD,7,37.55787908030916,8.795669
101,SSD,15,24.699205850324475,6.291372
101,NCC,7,10.71703659108817,2.9786615
101,NCC,15,3.052651149613549,1.1798402
102,SAD,7,23.922786000043722,4.3875303
102,SAD,15,16.715125811599588,3.0095522
102,SSD,7,21.13000896312004,3.9169035
102,SSD,15,14.4907417528365,2.7608578
102,NCC,7,9.085543143213169,1.7601177
102,NCC,15,8.72592527818464,1.593684
103,SAD,7,28.75995355009954,5.2639565
103,SAD,15,17.261944260119442,3.2840202
103,SSD,7,26.134704711347045,4.8703313
103,SSD,15,14.807564698075648,2.8691933
103,NCC,7,6.046781685467817,1.5316081
103,NCC,15,4.037823490378234,1.1855599
104,SAD,7,78.46300934741899,18.397163
104,SAD,15,68.78293918251566,15.139093
104,SSD,7,77.50693352507525,18.572012
104,SSD,15,67.95565704533063,14.869831
104,NCC,7,84.81814805742775,26.803211
104,NCC,15,72.35123539218863,19.99418
105,SAD,7,27.706739902942246,5.4680047
105,SAD,15,19.44600301213714,4.128228
105,SSD,7,25.16807922117552,5.0111175
105,SSD,15,17.831655002017936,3.7778053
105,NCC,7,7.618935120928446,1.910701
105,NCC,15,6.081367077144179,1.371384
106,SAD,7,23.71453860262248,5.3119006
106,SAD,15,16.223047513025705,3.5235717
106,SSD,7,22.001806717704923,4.9748178
106,SSD,15,14.471078829465922,3.1890502
106,NCC,7,6.693067861411977,1.8676771
106,NCC,15,6.5087461561624576,1.4322827
107,SAD,7,20.053378391351934,3.7830303
